"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ENST00000528896.7|ENSG00000007202.17|OTTHUMG00000166587.7|OTTHUMT00000390571.4|BLTP2-202|BLTP2|7428|protein_coding|",150.698460825056,25.7036415945234,3.02644485909317,8.49301500316288,2.01344295937839e-17,3.29399268154305e-13
"ENST00000960226.1|ENSG00000144028.16|OTTHUMG00000130455.7|-|SNRNP200-212|SNRNP200|6823|protein_coding|",87.153010954007,24.9565866301675,3.02663120813494,8.24566487092631,1.64244393551691e-16,7.58191458945956e-13
"ENST00000870502.1|ENSG00000197746.16|OTTHUMG00000018429.6|-|PSAP-207|PSAP|2786|protein_coding|",79.8120281843597,24.8420377938965,3.02667164174615,8.20770824666155,2.25450219955986e-16,7.58191458945956e-13
"ENST00000681657.1|ENSG00000168003.20|OTTHUMG00000074091.8|-|SLC3A2-240|SLC3A2|1905|protein_coding|",81.809198585679,24.8753209203889,3.02666004630853,8.21873634296263,2.05658616517582e-16,7.58191458945956e-13
"ENST00000931590.1|ENSG00000080603.18|OTTHUMG00000132393.6|-|SRCAP-209|SRCAP|10368|protein_coding|",79.6513796722905,24.8320723683192,3.02667280609652,8.20441255437353,2.31721106034828e-16,7.58191458945956e-13
"ENST00000340006.7|ENSG00000159176.15|OTTHUMG00000035773.6|OTTHUMT00000504292.2|CSRP1-201|CSRP1|1820|protein_coding|",56.3359618238928,24.3671563303292,3.02687287525449,8.05027410616988,8.26088129790262e-16,1.12623348361406e-12
"ENST00000312431.10|ENSG00000151914.22|OTTHUMG00000014913.26|-|DST-202|DST|17756|protein_coding|",53.6867722482996,24.3016894018741,3.01184994318236,8.06869195355616,7.10552886866835e-16,1.12623348361406e-12
"ENST00000687971.1|ENSG00000178209.18|OTTHUMG00000165291.5|OTTHUMT00000383860.2|PLEC-214|PLEC|13695|protein_coding|",55.5371947396946,24.3442077663256,3.0017005772067,8.11013861648374,5.0562047936562e-16,1.12623348361406e-12
"ENST00000928122.1|ENSG00000175216.16|OTTHUMG00000166599.5|-|CKAP5-219|CKAP5|6816|protein_coding|",62.603220998021,24.4716311608882,3.02680433294563,8.08497295134793,6.21779953293991e-16,1.12623348361406e-12
"ENST00000893571.1|ENSG00000087365.17|OTTHUMG00000166751.5|-|SF3B2-217|SF3B2|2448|protein_coding|",58.5529452362879,24.4198617471536,3.02684698015768,8.06775562399967,7.16021811790115e-16,1.12623348361406e-12
"ENST00000334869.9|ENSG00000100600.16|OTTHUMG00000171199.5|OTTHUMT00000412290.3|LGMN-201|LGMN|1980|protein_coding|",60.5949637420485,24.4654446803299,3.0217246170697,8.09651698309131,5.65550851368116e-16,1.12623348361406e-12
"ENST00000926229.1|ENSG00000100316.17|OTTHUMG00000151079.10|-|RPL3-231|RPL3|1167|protein_coding|",103.366682932367,-24.3921954136383,3.02670578564107,-8.05899124036331,7.69266101886347e-16,1.12623348361406e-12
"ENST00000275418.13|ENSG00000117868.19|OTTHUMG00000151436.3|OTTHUMT00000322650.3|ESYT2-202|ESYT2|5902|protein_coding|",54.0012020918876,24.3099306816487,3.02690224579056,8.03129031188764,9.64528139758107e-16,1.21382156664943e-12
"ENST00000857015.1|ENSG00000087274.20|OTTHUMG00000122080.23|-|ADD1-231|ADD1|3852|protein_coding|",45.9719454983858,23.9140794556657,2.99519209150714,7.98415551492474,1.41487556577585e-15,1.27482580052448e-12
"ENST00000913996.1|ENSG00000071894.18|OTTHUMG00000174612.6|-|CPSF1-229|CPSF1|4569|protein_coding|",43.0850309300501,23.998473906828,3.0092411025726,7.97492560044846,1.52472641448636e-15,1.27482580052448e-12
"ENST00000920790.1|ENSG00000111640.16|OTTHUMG00000137379.3|-|GAPDH-237|GAPDH|1198|protein_coding|",83.9976128589097,-24.1412887981727,3.02682539645763,-7.97577845964484,1.5142334380319e-15,1.27482580052448e-12
"ENST00000944771.1|ENSG00000123143.14|OTTHUMG00000039611.3|-|PKN1-220|PKN1|2920|protein_coding|",51.713772380423,24.2500156811261,3.02693392534227,8.01141230011622,1.13398586106814e-15,1.27482580052448e-12
"ENST00000870074.1|ENSG00000063245.16|OTTHUMG00000180911.5|-|EPN1-219|EPN1|2259|protein_coding|",47.8266944288257,24.1440222892272,3.02699436408941,7.9762362876055,1.50863001884848e-15,1.27482580052448e-12
"ENST00000908338.1|ENSG00000123562.19|OTTHUMG00000022104.3|-|MORF4L2-241|MORF4L2|1788|protein_coding|",49.6025492141453,24.1857489001466,3.02696570258645,7.99009677561941,1.34832868221369e-15,1.27482580052448e-12
