"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"D6RD17;P01591",9.25917090667246,7.23623492400824,8.18470404725109,4.57974173927808e-06,0.00155711219135455,3.91740016157025
"A0A024RA55;A0A3B3ISS6;A8K7R3;B2R5R1;B4DLL5;B4DN79;B4E3D4;Q14956;Q14956-2",8.39096469575734,10.5278476531423,7.05179487859906,5.24309552948167e-05,0.00891326240011883,1.57933903002817
"C9JF17;P05090",6.36987070749657,9.44796594810432,5.99985641206674,0.000120108110445031,0.011793102525205,1.26168441204062
"A0A1S5UZ07;Q9Y490",-4.18865212223918,8.12853576387304,-5.44597638926527,0.000138742382649471,0.011793102525205,1.2578140000345
"P67936-2",-6.56212400544128,8.41312512630854,-5.37779447150455,0.000208291342015408,0.0127709010101394,0.887504601951144
"B7ZLY3;C9JD84;E7EV71;Q14766;Q14766-2;Q14766-3;Q14766-4;Q14766-5",-6.94604329101847,6.27267544607838,-5.5468618712176,0.000225368841355402,0.0127709010101394,0.760979288116674
"B3KUE5;P55058;Q53H91",6.03406433541137,10.2378718042167,4.9711396749536,0.000306298062618816,0.0148773344700568,0.563058769398402
"A0A024R374;A0A7I2V440;A0A7I2V668;A0A7P0NGZ6;B4DL49;E9PHZ5;P07858",5.16482870695901,9.74413444255121,4.8009824621252,0.000520498284175368,0.0221211770774532,0.099639874269549
"A0A024R3I5;A8K6A6;B2R642;B3KXZ9;P43121",-5.06129454785138,7.07846628519332,-4.66500215829397,0.000650326081922476,0.0245678742059602,-0.0944749241675211
"A0A024RAA5;B4E1U9;P60953",-6.07406916273098,7.47751148821942,-4.54233034709231,0.000796742368413253,0.0270892405260506,-0.272238841923923
"C0JYY2",5.42176196655165,9.87380565165359,4.28996631549765,0.0010057390270335,0.0310426373436717,-0.497361001951874
"A0A286YEY1;P01876;Q6MZW0;Q8NCL6;Q9UP60",3.71951832164723,14.3021522311404,4.24216447677412,0.00109562249448253,0.0310426373436717,-0.574332359013251
"A0A024R6G3;G3V4U0;Q9UBX5",-3.15769336721839,10.2939033023109,-4.25822927232387,0.00128491588635842,0.0322369219954731,-0.693194304230861
"D6RGG3;Q99715;Q99715-4",-3.2720410812433,11.458733101191,-4.2391120109008,0.00132740267040184,0.0322369219954731,-0.721966752171486
"P67936;V9HW56",-2.88726067620581,11.2292408447146,-4.03365421850576,0.00159630381726744,0.0337438455378697,-0.913496934579016
"Q05707;Q05707-2",-3.03110293843284,9.86853204797038,-3.97709522062617,0.00176928512605488,0.0337438455378697,-1.00639290222098
"A2RTY6;D3DRR6;P19823;Q5T985",3.26454292984554,10.1174523277354,3.97630312348844,0.00177184033750098,0.0337438455378697,-1.00769643385098
"A0A5K1VW95;B9A041;P40925;P40925-2;P40925-3;V9HWF2",-3.40769737099073,8.37709586824757,-4.03444370805354,0.00188568548593978,0.0337438455378697,-1.03331096919426
"P0DJI8",-4.70077797910482,11.7026854285234,-3.94289569876767,0.00188314229560989,0.0337438455378697,-1.06273641055164
"A0A140VJY2;I3L0K7;I3L239;Q12931;Q12931-2;Q53FS6;Q53G55;Q8N9Z3;Q9BV61",-3.43850463682123,11.0718335452445,-3.97358605620291,0.00209516301763738,0.0346351092974694,-1.12700386955236
"A3KPE2;B0YIW2;P02656",5.63716038589635,8.15779855236492,3.8731686387217,0.00213922733896135,0.0346351092974694,-1.17799451814904
"A0A087WU13;A0A2R8Y478;A0A7I2V3T0;A0A7I2V3T7;A6NNI4;B4DPP0;F5GXT1;G8JLH6;P21926",-3.26518996426329,12.164595583708,-3.83182678243668,0.00230770940973391,0.0351186974903782,-1.24656373150555
"A0A024RAB6",-4.6230521346769,9.31965988661611,-3.79270928240631,0.00247967465243001,0.0351186974903782,-1.31159400341451
"Q6GMW4",4.97033239527389,9.72539431624975,3.85351935696621,0.00258225716841016,0.0351186974903782,-1.31324435149873
"A0A6Q8PFK8;P04792;V9HW43",-2.78180007543632,12.7653315030566,-3.77792109231811,0.00254806109474061,0.0351186974903782,-1.33621508011452
"P12429",-4.98202217480497,7.2811161309469,-3.76324820530317,0.00302474316362476,0.0395543336781699,-1.45440974638374
"D9YZV5;P09493-3",-3.17607513980148,7.11205452153933,-3.67148222490982,0.00355527973575073,0.0447701892650092,-1.59883568156803
"K7ELW0;Q99497;V9HWC2",-3.33651912401033,10.1167436458773,-3.56257445919315,0.00379413233044029,0.0460716068696321,-1.69676398114557
