"Gene","Module","GS","GS_pvalue","MM","MM_pvalue","kTotal","kWithin","Module_Trait_Cor","Module_Trait_Pval","Rank"
"SLC29A3","cyan",0.553826108266234,0.0967073819777667,0.981816631849947,4.6791540765679e-07,45.5106475858536,19.3363344510112,NA,NA,1
"CTSB","cyan",0.638269766441156,0.0470385889219938,0.963871170698703,7.13574399196991e-06,64.9505178959427,18.6640197413798,NA,NA,2
"CAPG","cyan",0.694147572881434,0.0259458137186508,0.958143474432655,1.27658040994993e-05,42.6141999793707,17.0189274190693,NA,NA,3
"CTSD","cyan",0.672021486071918,0.0332951769900259,0.956835667072709,1.44146223357154e-05,49.2259855848095,17.5818201418401,NA,NA,4
"PTPRJ","cyan",0.441473393035546,0.201506442483376,0.952757735716022,2.05809292445656e-05,41.5397611239065,15.3113055807628,NA,NA,5
"PLA2G15","cyan",0.57611947507304,0.081316527614407,0.943656780261342,4.11788492334861e-05,36.9813155963725,14.993149044487,NA,NA,6
"TPP1","cyan",0.687421953224881,0.0280483955179887,0.937247255710468,6.28671462333829e-05,45.6945406998287,16.0950996662741,NA,NA,7
"UNC13D","cyan",0.528236603667954,0.116516232970449,0.936420944033699,6.61771925378429e-05,50.6931037277056,14.5287800137608,NA,NA,8
"AMDHD2","cyan",0.560428049550076,0.091971130394343,0.936141125912772,6.73267669838527e-05,48.9326177730625,13.8142280505471,NA,NA,9
"ARAP1","cyan",0.47477865475768,0.165568723720539,0.934822806809775,7.29426778888954e-05,41.1293575518953,14.4948017961106,NA,NA,10
"MAPK13","cyan",0.578396655694445,0.0798398671516613,0.932915774258899,8.16699433907785e-05,39.5783317356543,12.7749616632294,NA,NA,11
"TMC6","cyan",0.670185281326003,0.033962074132395,0.932689595792355,8.27539170813645e-05,45.7689258460913,15.2652191573309,NA,NA,12
"RAP2B","cyan",0.46588220259417,0.174761068810378,0.930894507106684,9.17382819890512e-05,43.0032450850579,13.1535473965117,NA,NA,13
"RNPEPL1","cyan",0.481742723346563,0.158579545127125,0.928716176760914,0.000103585538239597,35.9546924708423,13.4624432675797,NA,NA,14
"VAC14","cyan",0.628473573870188,0.0516408125150126,0.926749882912482,0.000115216834964508,42.2900813851034,15.3645875688215,NA,NA,15
"ABCA7","cyan",0.388584430600631,0.267113532869359,0.92339143261786,0.000137275321304905,33.9682762563465,11.7304967368576,NA,NA,16
"GRN","cyan",0.66528880101795,0.0357845886840367,0.922567436978496,0.000143131683811926,45.7122752809368,14.5960503052676,NA,NA,17
"IFI30","cyan",0.759049460578175,0.010896040513495,0.921544667324576,0.000150654625387922,60.4030333513242,15.2502213929485,NA,NA,18
"PLD3","cyan",0.732766375122622,0.0159234032276799,0.921079927411032,0.000154167606766764,59.0440923831395,14.9977371733054,NA,NA,19
"CDK18","cyan",0.579910537472453,0.0788678265935543,0.914112881237588,0.000214393575999209,35.3350207684771,13.4852071549832,NA,NA,20
"DAGLB","lightyellow",0.462504770899994,0.178328488208865,0.975905732228858,1.43225524755306e-06,226.71043200107,20.4303833636115,NA,NA,1
