"Gene","ModuleLabel","ModuleColor"
"7SK",12,"tan"
"A2M",1,"turquoise"
"A4GALT",4,"yellow"
"AAAS",10,"purple"
"AACS",4,"yellow"
"AAGAB",1,"turquoise"
"AAK1",2,"blue"
"AAMDC",1,"turquoise"
"AAMP",1,"turquoise"
"AAR2",3,"brown"
"AARS1",1,"turquoise"
"AARS2",2,"blue"
"AARSD1",21,"darkred"
"AASDH",0,"grey"
"AASDHPPT",3,"brown"
"AASS",2,"blue"
"AATF",1,"turquoise"
"ABCA1",5,"green"
"ABCA2",1,"turquoise"
"ABCA3",1,"turquoise"
"ABCA5",3,"brown"
"ABCA6",1,"turquoise"
"ABCA7",14,"cyan"
"ABCA8",1,"turquoise"
"ABCA9",6,"red"
"ABCB10",2,"blue"
"ABCB6",1,"turquoise"
"ABCB7",1,"turquoise"
"ABCB8",2,"blue"
"ABCB9",17,"grey60"
"ABCC1",7,"black"
"ABCC10",1,"turquoise"
"ABCC3",21,"darkred"
"ABCC4",7,"black"
"ABCC5",7,"black"
"ABCC9",2,"blue"
"ABCD1",15,"midnightblue"
"ABCD3",9,"magenta"
"ABCD4",1,"turquoise"
"ABCE1",1,"turquoise"
"ABCF1",1,"turquoise"
"ABCF2",7,"black"
"ABCF3",1,"turquoise"
"ABCG1",1,"turquoise"
"ABHD10",3,"brown"
"ABHD11",3,"brown"
"ABHD12",19,"lightyellow"
"ABHD13",1,"turquoise"
"ABHD14B",1,"turquoise"
"ABHD15",3,"brown"
"ABHD16A",4,"yellow"
"ABHD17A",2,"blue"
"ABHD17B",6,"red"
"ABHD18",7,"black"
"ABHD2",1,"turquoise"
"ABHD3",1,"turquoise"
"ABHD4",1,"turquoise"
"ABHD5",4,"yellow"
"ABHD6",10,"purple"
"ABHD8",3,"brown"
"ABI1",4,"yellow"
"ABI2",10,"purple"
"ABI3BP",5,"green"
"ABITRAM",4,"yellow"
"ABL1",7,"black"
"ABL2",12,"tan"
"ABLIM1",8,"pink"
"ABLIM2",4,"yellow"
"ABLIM3",4,"yellow"
"ABR",1,"turquoise"
"ABRAXAS1",0,"grey"
"ABRAXAS2",4,"yellow"
"ABT1",1,"turquoise"
"ABTB1",1,"turquoise"
"ABTB2",5,"green"
"ACAA1",3,"brown"
"ACAA2",2,"blue"
"ACACA",1,"turquoise"
"ACACB",2,"blue"
"ACAD10",15,"midnightblue"
"ACAD11",3,"brown"
"ACAD8",3,"brown"
"ACAD9",3,"brown"
"ACADL",2,"blue"
"ACADM",3,"brown"
"ACADSB",2,"blue"
"ACADVL",2,"blue"
"ACAN",1,"turquoise"
"ACAP1",8,"pink"
"ACAP2",3,"brown"
"ACAP3",1,"turquoise"
"ACAT1",1,"turquoise"
"ACAT2",1,"turquoise"
"ACBD3",4,"yellow"
"ACBD4",1,"turquoise"
"ACBD5",8,"pink"
"ACBD6",3,"brown"
"ACBD7",3,"brown"
"ACCS",1,"turquoise"
"ACD",1,"turquoise"
"ACER3",8,"pink"
"ACIN1",20,"royalblue"
"ACKR3",5,"green"
"ACLY",1,"turquoise"
"ACO1",3,"brown"
"ACO2",2,"blue"
"ACOT11",2,"blue"
"ACOT13",1,"turquoise"
"ACOT2",3,"brown"
"ACOT7",1,"turquoise"
"ACOT8",1,"turquoise"
"ACOT9",10,"purple"
"ACOX1",6,"red"
"ACOX3",4,"yellow"
"ACP1",3,"brown"
"ACP2",14,"cyan"
"ACP5",8,"pink"
"ACP6",18,"lightgreen"
"ACSF2",0,"grey"
"ACSF3",8,"pink"
"ACSL1",5,"green"
"ACSL3",3,"brown"
"ACSL4",7,"black"
"ACSM2A",6,"red"
"ACSS1",5,"green"
"ACSS2",3,"brown"
"ACTA2",2,"blue"
"ACTB",2,"blue"
"ACTE1P",2,"blue"
"ACTG1",1,"turquoise"
"ACTG2",2,"blue"
"ACTL6A",3,"brown"
"ACTN1",4,"yellow"
"ACTN2",4,"yellow"
"ACTN4",13,"salmon"
"ACTR10",3,"brown"
"ACTR1A",3,"brown"
"ACTR1B",6,"red"
"ACTR2",1,"turquoise"
"ACTR3",12,"tan"
"ACTR3B",4,"yellow"
"ACTR5",23,"darkturquoise"
"ACTR6",1,"turquoise"
"ACTR8",0,"grey"
"ACVR1",16,"lightcyan"
"ACVR1B",16,"lightcyan"
"ACVR2A",14,"cyan"
"ACVR2B",7,"black"
"ACVRL1",5,"green"
"ACYP2",18,"lightgreen"
"ADA",18,"lightgreen"
"ADA2",2,"blue"
"ADAM10",19,"lightyellow"
"ADAM15",1,"turquoise"
"ADAM17",6,"red"
"ADAM19",7,"black"
"ADAM23",1,"turquoise"
"ADAM28",8,"pink"
"ADAM32",2,"blue"
"ADAM33",2,"blue"
"ADAM8",8,"pink"
"ADAM9",3,"brown"
"ADAMTS1",2,"blue"
"ADAMTS10",2,"blue"
"ADAMTS15",10,"purple"
"ADAMTS2",4,"yellow"
"ADAMTS4",5,"green"
"ADAMTS7",4,"yellow"
"ADAMTS9",5,"green"
"ADAMTS9-AS2",2,"blue"
"ADAMTSL1",2,"blue"
"ADAMTSL3",2,"blue"
"ADAMTSL4",1,"turquoise"
"ADAMTSL5",5,"green"
"ADAP1",0,"grey"
"ADAP2",8,"pink"
"ADAR",7,"black"
"ADARB1",1,"turquoise"
"ADAT1",4,"yellow"
"ADCK1",3,"brown"
"ADCK2",4,"yellow"
"ADCY3",7,"black"
"ADCY5",1,"turquoise"
"ADCY6",15,"midnightblue"
"ADCY7",5,"green"
"ADCY9",3,"brown"
"ADD1",15,"midnightblue"
"ADD3",11,"greenyellow"
"ADGRA2",7,"black"
"ADGRA3",1,"turquoise"
"ADGRB3",23,"darkturquoise"
"ADGRB3-DT",2,"blue"
"ADGRE2",8,"pink"
"ADGRE5",4,"yellow"
"ADGRG1",7,"black"
"ADGRL1",2,"blue"
"ADGRL1-AS1",3,"brown"
