"Gene","Module","MM","MM_pvalue"
"7SK","tan",-0.731418056750452,0.0162181242264483
"A2M","turquoise",-0.929107431549069,0.000101378853730058
"A4GALT","yellow",0.536710792986978,0.109698345955944
"AAAS","purple",0.751440061688831,0.0122160301953547
"AACS","yellow",0.582649494402379,0.0771286969443753
"AAGAB","turquoise",0.926576575951804,0.00011628625268755
"AAK1","blue",0.937884080861925,6.04010036691562e-05
"AAMDC","turquoise",-0.768717881098697,0.0093677579291348
"AAMP","turquoise",0.89420595419488,0.000481497207725756
"AAR2","brown",0.933216452330265,8.0245221689478e-05
"AARS1","turquoise",0.976886574337509,1.21433465401582e-06
"AARS2","blue",-0.620988095116368,0.0553523694423099
"AARSD1","darkred",-0.942579704415839,4.43604567237834e-05
"AASDH","grey",0.737251939296373,0.0149697716359527
"AASDHPPT","brown",0.9335800898149,7.85468212244287e-05
"AASS","blue",0.828162898759096,0.00308292576056684
"AATF","turquoise",0.709978743159927,0.0214281317949997
"ABCA1","green",0.801469374806597,0.00530749913858673
"ABCA2","turquoise",0.89997747906759,0.000387494263633259
"ABCA3","turquoise",-0.852278207619676,0.00173627040509025
"ABCA5","brown",0.8248197038423,0.00331571104687518
"ABCA6","turquoise",-0.786929218996911,0.00691012499920167
"ABCA7","cyan",0.92339143261786,0.000137275321304905
"ABCA8","turquoise",-0.820867170956369,0.00360690489281436
"ABCA9","red",0.901770692278313,0.000361250160932348
"ABCB10","blue",-0.637717561538531,0.0472904340682876
"ABCB6","turquoise",0.905162235512106,0.000315210755128435
"ABCB7","turquoise",0.625183004992659,0.0532513595468643
"ABCB8","blue",-0.840585798757804,0.00232002537378315
"ABCB9","grey60",0.792634917858266,0.00624528132374262
"ABCC1","black",0.83546672921007,0.00261556018162282
"ABCC10","turquoise",-0.861887093318822,0.0013429469448042
"ABCC3","darkred",0.87959635057483,0.000793169454365384
"ABCC4","black",0.81016967288832,0.0044866335490813
"ABCC5","black",-0.786803524267811,0.00692531288471543
"ABCC9","blue",0.864494944567951,0.00124845869142495
"ABCD1","midnightblue",-0.777069313231232,0.00817503940911739
"ABCD3","magenta",0.885338003230492,0.000657070042784451
"ABCD4","turquoise",-0.828554112925383,0.00305647647330422
"ABCE1","turquoise",0.967776847224964,4.53687771118303e-06
"ABCF1","turquoise",0.905303119112942,0.00031339679135877
"ABCF2","black",0.874979960829147,0.000916658081622325
"ABCF3","turquoise",0.802106809531571,0.0052439828799653
"ABCG1","turquoise",-0.701561126981274,0.0237562509838723
"ABHD10","brown",0.93950304007144,5.44539979290752e-05
"ABHD11","brown",0.936855663898853,6.44201264538357e-05
"ABHD12","lightyellow",0.781449603369095,0.00759448543986185
"ABHD13","turquoise",0.784581833921717,0.00719768986500156
