"Gene","Module","GS","GS_pvalue","MM","MM_pvalue","kTotal","kWithin","Module_Trait_Cor","Module_Trait_Pval"
"NPC2","cyan",0.85552132971541,0.001595288295955,0.7205644739418,0.018730147658962,22.3974319548564,3.2013219854688,NA,NA
"C2orf42","purple",0.855227131092538,0.00160772257627679,-0.676261342003428,0.0317893626421915,17.0026836387287,1.03525702519727,NA,NA
"TOMM40L","magenta",0.847748336456544,0.00194800534409268,-0.739583637106006,0.0144901349994566,28.1931391815404,4.0492532997594,NA,NA
"SMURF1","magenta",-0.83234309936081,0.00280868438190318,0.686846359249043,0.0282335728358981,20.5247009839676,4.32710941068223,NA,NA
"B2M","greenyellow",0.801678093792126,0.00528664156900997,-0.795391473970811,0.00594096657614826,17.5818949833347,3.59498822816454,NA,NA
"SSBP3","brown",-0.79984016500001,0.00547233014950699,-0.308986262818776,0.385010621347777,14.006217568764,0.666084140204328,NA,NA
"INPP4A","pink",0.797932292601057,0.00566995453086229,0.694839178617273,0.0257359253161185,34.1175866890983,8.51843979620404,NA,NA
"OTUD7B","pink",-0.796818287079307,0.00578766934979727,-0.824294058796458,0.00335342678205846,31.1895001880601,8.37869354889976,NA,NA
"BRCC3","grey",0.795577937806158,0.00592077058188066,0.557838510871432,0.0938108134361825,11.1924147221727,1.56949621078282,NA,NA
"ZFYVE28","cyan",0.794829976767796,0.00600207873216274,0.805014016094408,0.0049611568581416,30.463919818573,6.59031725029649,NA,NA
"SMCR8","lightyellow",0.793948746640105,0.00609888991681658,0.826275548427867,0.00321284342654771,49.03002287446,6.54112472042943,NA,NA
"WDR35","cyan",-0.78959720388816,0.00659329516047563,-0.820314869313977,0.00364900612923648,11.9270952205342,1.68903727888677,NA,NA
"SLC35B4","purple",0.789374183631042,0.00661937602553505,-0.679476705657632,0.0306787700289009,7.16294262680845,1.01396633888118,NA,NA
"FN3K","lightyellow",0.787684083774821,0.00681941042569574,0.750268661544273,0.0124287288252178,24.1853605012448,3.82364743889923,NA,NA
"ACVR2A","cyan",-0.785005718279096,0.007145145719112,-0.852237092653036,0.00173811358279554,21.57770923025,4.54427659068353,NA,NA
"RFX1","lightyellow",0.780903391528701,0.00766523314757,0.74855533749565,0.0127444819714686,42.3276070099438,3.32766741210602,NA,NA
"CCDC88C","greenyellow",0.777810125192595,0.00807472012098231,-0.827161355729125,0.00315138786713125,21.680648515859,5.19703091925192,NA,NA
"ZC3H4","greenyellow",0.777761243667771,0.00808131257524706,-0.800615574605408,0.00539343187709529,41.8814020301622,7.20430655039232,NA,NA
"ZNF202","cyan",-0.776879479524103,0.00820088753869347,-0.622797078567564,0.0544397380975772,9.08456775627044,1.14087044404392,NA,NA
"RNF214","magenta",-0.776740799113341,0.0082198070390348,0.58408504995261,0.0762271806861915,16.0802919916218,2.41123147903636,NA,NA
"TMEM64","magenta",-0.765718667743662,0.00982451351575808,0.747159945649485,0.0130057593456991,23.2329665347827,5.86365458278295,NA,NA
"ANKRD46","magenta",-0.764286100617707,0.0100481238109111,0.754625763264371,0.011650505739045,20.7467924798974,6.42974294401318,NA,NA
"TMEM41B","magenta",-0.761642872876592,0.0104700746844385,0.829107484848826,0.00301934318065704,28.0883477740347,9.67222290652618,NA,NA
"IL6R","magenta",0.759359143577513,0.0108445460495871,-0.79440187472714,0.00604897200259717,37.6659400016225,5.61175449937661,NA,NA
"IFI30","cyan",0.759049460578175,0.010896040513495,0.921544667324576,0.000150654625387922,60.4030333513242,15.2502213929485,NA,NA
