"Gene","Module","GS","GS_pvalue","MM","MM_pvalue","kTotal","kWithin","Module_Trait_Cor","Module_Trait_Pval"
"NPC2","cyan",0.85552132971541,0.001595288295955,0.7205644739418,0.018730147658962,22.3974319548564,3.2013219854688,NA,NA
"ZFYVE28","cyan",0.794829976767796,0.00600207873216274,0.805014016094408,0.0049611568581416,30.463919818573,6.59031725029649,NA,NA
"SMCR8","lightyellow",0.793948746640105,0.00609888991681658,0.826275548427867,0.00321284342654771,49.03002287446,6.54112472042943,NA,NA
"FN3K","lightyellow",0.787684083774821,0.00681941042569574,0.750268661544273,0.0124287288252178,24.1853605012448,3.82364743889923,NA,NA
"RFX1","lightyellow",0.780903391528701,0.00766523314757,0.74855533749565,0.0127444819714686,42.3276070099438,3.32766741210602,NA,NA
"TMEM64","magenta",-0.765718667743662,0.00982451351575808,0.747159945649485,0.0130057593456991,23.2329665347827,5.86365458278295,NA,NA
"ANKRD46","magenta",-0.764286100617707,0.0100481238109111,0.754625763264371,0.011650505739045,20.7467924798974,6.42974294401318,NA,NA
"TMEM41B","magenta",-0.761642872876592,0.0104700746844385,0.829107484848826,0.00301934318065704,28.0883477740347,9.67222290652618,NA,NA
"IFI30","cyan",0.759049460578175,0.010896040513495,0.921544667324576,0.000150654625387922,60.4030333513242,15.2502213929485,NA,NA
"WAPL","magenta",-0.753951723062368,0.0117685956354369,0.821197678065865,0.00358187809802936,29.6519953913804,8.0598910563293,NA,NA
"TM4SF19","cyan",0.749968732177611,0.0124836033717806,0.902483739092369,0.000351186047969358,28.9819415190464,12.5928122813129,NA,NA
"PLD3","cyan",0.732766375122622,0.0159234032276799,0.921079927411032,0.000154167606766764,59.0440923831395,14.9977371733054,NA,NA
"PTGS1","pink",0.719529282489454,0.0189829879794957,0.944662738639976,3.83630739487101e-05,98.5667316877341,69.8374265225959,NA,NA
"NBEAL2","pink",0.716377163233114,0.0197674201153672,0.761866606925074,0.0104338846201372,46.6322200821937,18.5574769262743,NA,NA
"RAB42","cyan",0.708889877625128,0.0217200178499604,0.897474924995947,0.000426422589559293,65.2694311774509,12.0542985492795,NA,NA
"PSAP","cyan",0.708603672447906,0.0217971918398648,0.904751209930391,0.000320547030059686,33.6510535003422,13.7378529936485,NA,NA
"PCCA","magenta",-0.703374925806337,0.0232405748376017,0.862057185602337,0.0013366307923116,30.3231477283395,10.994843635702,NA,NA
"PUS7","magenta",-0.702194058578352,0.023575419558799,0.925253903761956,0.000124691085802639,51.9127943876822,17.1422262979398,NA,NA
"GAS2L3","pink",0.702059380470772,0.0236138181588318,0.852441148899227,0.00172897968892866,60.5301862407237,33.383795118083,NA,NA
