PANEL	FILE	ID	CHR	P0	P1	HSQ	BEST.GWAS.ID	BEST.GWAS.Z	EQTL.ID	EQTL.R2	EQTL.Z	EQTL.GWAS.Z	NSNP	NWGT	MODEL	MODELCV.R2	MODELCV.PV	TWAS.Z	TWAS.P
GTExv8.ALL.Artery_Coronary	.//GTExv8.ALL.Artery_Coronary/ENSG00000225880.5.wgt.RDat	ENSG00000225880.5	1	827521	827522	0.3604	rs3128117	-2.94	rs1048488	 1.93e-01	  6.48	-0.33752	151	  1	top1	0.19	1.1e-11	-0.33752	7.36e-01
GTExv8.ALL.Artery_Coronary	.//GTExv8.ALL.Artery_Coronary/ENSG00000187583.10.wgt.RDat	ENSG00000187583.10	1	966496	966497	0.1475	rs4970421	-3.04	rs11260556	-2.35e-03	 -3.38	 0.25058	176	176	susie	0.005	0.15	 1.15712	2.47e-01
GTExv8.ALL.Artery_Coronary	.//GTExv8.ALL.Artery_Coronary/ENSG00000272512.1.wgt.RDat	ENSG00000272512.1	1	998050	998051	0.3363	rs4970421	-3.00	rs3128117	 2.64e-01	 -7.70	-2.94011	179	179	susie	0.28	8.5e-17	 3.06355	2.19e-03
GTExv8.ALL.Artery_Coronary	.//GTExv8.ALL.Artery_Coronary/ENSG00000188157.14.wgt.RDat	ENSG00000188157.14	1	1020122	1020123	0.1591	rs3128117	-2.94	rs2710888	 1.01e-01	 -4.82	-1.16861	182	  1	top1	0.1	1.4e-06	 1.16861	2.43e-01
GTExv8.ALL.Artery_Coronary	.//GTExv8.ALL.Artery_Coronary/ENSG00000131591.17.wgt.RDat	ENSG00000131591.17	1	1116360	1116361	0.2682	rs3128117	-2.94	rs9442372	 1.32e-01	 -5.88	-1.49470	207	207	susie	0.14	1.1e-08	 1.43489	1.51e-01
GTExv8.ALL.Artery_Coronary	.//GTExv8.ALL.Artery_Coronary/ENSG00000078808.16.wgt.RDat	ENSG00000078808.16	1	1232030	1232031	0.1228	rs3128117	-2.94	rs3753349	 2.32e-02	 -4.13	 0.31507	220	  8	enet	0.044	0.0012	-0.00506	9.96e-01
GTExv8.ALL.Artery_Coronary	.//GTExv8.ALL.Artery_Coronary/ENSG00000176022.4.wgt.RDat	ENSG00000176022.4	1	1232264	1232265	0.2643	rs3128117	-2.94	rs12036216	 4.06e-02	 -3.97	 0.24229	220	  5	lasso	0.053	0.00041	 0.52600	5.99e-01
GTExv8.ALL.Artery_Coronary	.//GTExv8.ALL.Artery_Coronary/ENSG00000235098.8.wgt.RDat	ENSG00000235098.8	1	1421768	1421769	0.3556	rs4970421	-3.12	rs12089560	 6.94e-02	 -4.94	 0.86298	273	 36	enet	0.096	2.6e-06	-1.08104	2.80e-01
GTExv8.ALL.Artery_Coronary	.//GTExv8.ALL.Artery_Coronary/ENSG00000215915.9.wgt.RDat	ENSG00000215915.9	1	1449688	1449689	0.1455	rs4970421	-3.09	rs3818646	-4.03e-03	 -3.15	 0.24204	280	 34	enet	-0.0016	0.41	-0.29044	7.71e-01
GTExv8.ALL.Artery_Coronary	.//GTExv8.ALL.Artery_Coronary/ENSG00000269737.2.wgt.RDat	ENSG00000269737.2	1	1671989	1671990	0.6820	rs4970421	-2.70	rs6604981	 2.75e-01	  7.90	-0.63444	296	296	susie	0.28	9.9e-17	-0.69491	4.87e-01
GTExv8.ALL.Artery_Coronary	.//GTExv8.ALL.Artery_Coronary/ENSG00000189339.11.wgt.RDat	ENSG00000189339.11	1	1692727	1692728	0.8202	NA	   NA	NA	       NA	    NA	      NA	296	  0	enet	0.37	1.8e-23	      NA	      NA
GTExv8.ALL.Artery_Coronary	.//GTExv8.ALL.Artery_Coronary/ENSG00000227775.3.wgt.RDat	ENSG00000227775.3	1	1724511	1724512	0.6986	NA	   NA	NA	       NA	    NA	      NA	284	  0	enet	0.35	2e-21	      NA	      NA
GTExv8.ALL.Artery_Coronary	.//GTExv8.ALL.Artery_Coronary/ENSG00000169885.9.wgt.RDat	ENSG00000169885.9	1	1914826	1914827	0.2083	rs2173049	 4.52	rs12126768	 5.05e-02	 -5.07	 1.51961	323	  3	lasso	0.079	1.8e-05	-1.07301	2.83e-01
