GENE       CHR      START       STOP  NSNPS  NPARAM       N        ZSTAT            P
3570         1  154405193  154469450    148      17  184305       5.0941   1.7518e-07
84976        1  222814514  223005995    427      35  184305       6.2935   1.5518e-10
84913        2   85753786   85791383    121      14  184305       5.9914     1.04e-09
940          2  203706475  203738912     77       9  184305       6.1094        5e-10
1493         2  203867788  203873960     16       5  184305       5.7927   3.4624e-09
29851        2  203936731  203961579     30       8  184305       7.0661   7.9659e-13
27148        2  218672026  218702717     95      17  184305       5.1063   1.6425e-07
152273       3   14818962   14934565    492      37  184305       5.0632   2.0615e-07
221692       6   12716606   13290244   1489      75  184305       8.1569   1.7184e-16
6446         6  134169246  134318112    366      36  184305       5.0623   2.0708e-07
4018         6  160531483  160666375    417      50  184305       4.8892   5.0629e-07
4216         6  160991727  161117385    238      20  184305       6.3462   1.1037e-10
1029         9   21967752   21995043     42      11  184305       4.9604   3.5167e-07
1030         9   22002903   22009313     10       5  184305       7.9284   1.1102e-15
55149       10   30309801   30349338    111      20  184305       6.1282   4.4431e-10
406         11   13277727   13387811    322      31  184305       4.8203   7.1664e-07
89894       12  111894930  112013219    110      12  184305       4.6838   1.4081e-06
5923        15   78959947   79090873    464      17  184305       6.0464   7.4075e-10
9564        16   75229030   75268053    249      26  184305       4.6276   1.8498e-06
10428       16   75293710   75433512    600      24  184305       5.0367   2.3677e-07
23293       17    2059839    2303813    690      37  184305       4.8727    5.505e-07
388394      17   46978156   46979248      4       2  184305       4.7925   8.2369e-07
4591        17   58982638   59106905     77       4  184305       4.9376   3.9549e-07
6597        19   10960922   11062282    202      21  184305       5.6084   1.0213e-08
25959       19   11164267   11197567    132      12  184305       7.7846   3.4972e-15
57572       19   11199293   11262501    244      28  184305       4.7415   1.0608e-06
4680        19   41755421   41772211     35       7  184305       4.9252   4.2141e-07
10848       19   45379634   45406349     99      21  184305        5.071   1.9783e-07
10849       19   45406209   45410766     10       4  184305       4.7764   8.9218e-07
