GENE	CHR	START	STOP	NSNPS	NPARAM	N	ZSTAT	P	Q_value
84842	1	45326873	45328675	4	2	184305	3.3672	0.00037971	0.04838814744827587
732	1	56929210	56966140	110	13	184305	4.1496	1.6653e-05	0.00615428268
51686	1	151762969	151771330	17	3	184305	4.2993	8.5688e-06	0.0037698639619047616
3570	1	154405193	154469450	148	17	184305	5.0941	1.7518e-07	0.0002250837788235294
80308	1	154983294	154993111	15	4	184305	4.0886	2.1701e-05	0.007157145333333334
25790	1	159872364	159900116	70	25	184305	3.9158	4.5045e-05	0.01095186197368421
55705	1	201829160	201884294	93	14	184305	3.547	0.00019485	0.030317440487804877
148362	1	222712553	222735196	81	13	184305	3.5391	0.00020078	0.030317440487804877
400823	1	222737216	222753727	38	8	184305	4.3225	7.7137e-06	0.0035893976950000005
84976	1	222814514	223005995	427	35	184305	6.2935	1.5518e-10	4.779026733333334e-07
81466	1	248021948	248022886	9	3	184305	3.5974	0.00016074	0.02628454619469027
84913	2	85753786	85791383	121	14	184305	5.9914	1.04e-09	1.9217119999999997e-06
26122	2	148644811	148788491	234	18	184305	3.4208	0.00031215	0.041199340714285715
940	2	203706475	203738912	77	9	184305	6.1094	5e-10	1.154875e-06
1493	2	203867788	203873960	16	5	184305	5.7927	3.4624e-09	5.816202472727273e-06
29851	2	203936731	203961579	30	8	184305	7.0661	7.9659e-13	3.6798475050000002e-09
64320	2	218663864	218672058	17	6	184305	3.9027	4.7562e-05	0.01134004335897436
27148	2	218672026	218702717	95	17	184305	5.1063	1.6425e-07	0.0002250837788235294
152273	3	14818962	14934565	492	37	184305	5.0632	2.0615e-07	0.0002250837788235294
6988	3	49412206	49416476	7	3	184305	3.816	6.7821e-05	0.014080858853932584
275	3	49416778	49422678	5	2	184305	4.0472	2.5917e-05	0.0076014972380952376
84276	3	49422333	49429324	13	4	184305	3.8863	5.0899e-05	0.011756396525
1605	3	49468703	49535618	111	14	184305	3.5712	0.00017765	0.02829841982758621
8927	3	49554489	49671549	157	17	184305	3.6539	0.00012915	0.022303118691588786
327	3	49673130	49683504	18	4	184305	3.6088	0.00015378	0.025599521081081083
63891	3	49689143	49721529	36	5	184305	3.542	0.00019854	0.030317440487804877
386724	3	49716834	49719805	3	2	184305	4.4381	4.5378e-06	0.0024661608352941175
29925	3	49721476	49723974	5	2	184305	4.0341	2.7409e-05	0.00791349221875
4486	3	49886981	49903873	24	6	184305	3.6268	0.0001435	0.024551787037037035
11343	3	127689062	127823250	368	21	184305	3.5157	0.00021927	0.031902921732283464
5523	3	135965673	136147910	294	24	184305	3.9011	4.7869e-05	0.01134004335897436
55167	3	136148918	136197393	96	16	184305	3.7776	7.9164e-05	0.01607464167032967
5096	3	136250325	136330171	115	18	184305	3.5127	0.0002218	0.03193399472868217
199221	3	138061985	138115818	135	13	184305	4.3076	8.2511e-06	0.003718629897560975
51146	3	138123718	138132387	9	4	184305	3.8654	5.5448e-05	0.012494733463414636
83894	4	146707027	146945882	623	62	184305	3.6167	0.00014921	0.02506456709090909
4306	4	148078764	148445278	869	27	184305	3.7448	9.0274e-05	0.01793637604301075
64839	5	107859033	108382098	1951	73	184305	3.5377	0.00020181	0.030317440487804877
4739	6	11183298	11382348	670	85	184305	3.5415	0.00019895	0.030317440487804877
221692	6	12716606	13290244	1489	75	184305	8.1569	1.7184e-16	3.17525952e-12
100507679	6	31005952	31035570	314	20	184305	4.1446	1.702e-05	0.006166579607843137
51557	6	63275951	63567921	1111	25	184305	3.5245	0.00021215	0.0313608616
29078	6	96889311	96897891	26	5	184305	3.9165	4.4921e-05	0.01095186197368421
114792	6	96898013	97142614	725	45	184305	3.9313	4.2247e-05	0.010842223138888888
6446	6	134169246	134318112	366	36	184305	5.0623	2.0708e-07	0.0002250837788235294
11104	6	149594873	149649018	254	20	184305	3.977	3.4896e-05	0.009482474823529412
4018	6	160531483	160666375	417	50	184305	4.8892	5.0629e-07	0.0004252375736363636
5340	6	160702193	160754054	379	13	184305	4.1027	2.0422e-05	0.006988105851851851
4216	6	160991727	161117385	238	20	184305	6.3462	1.1037e-10	4.07883372e-07
5294	7	106865278	106908978	84	10	184305	3.7074	0.0001047	0.018761329333333333
5577	7	107044728	107161811	257	14	184305	3.9902	3.3008e-05	0.009103310805970148
26959	7	107168961	107202529	80	7	184305	4.0173	2.9428e-05	0.008365701292307692
26157	7	150685706	150693641	14	7	184305	4.1147	1.9382e-05	0.006887319153846153
55174	8	19817149	19852078	157	18	184305	4.0543	2.5142e-05	0.007509816838709678
8822	8	22039709	22048809	23	2	184305	3.5	0.00023264	0.03268105218045113
4507	9	21802636	21865971	171	21	184305	3.4973	0.00023498	0.03268105218045113
1029	9	21967752	21995043	42	11	184305	4.9604	3.5167e-07	0.0003420083294736842
1030	9	22002903	22009313	10	5	184305	7.9284	1.1102e-15	1.0257137799999999e-11
79987	9	110365248	110579880	874	74	184305	4.0733	2.3176e-05	0.007258408949152542
5695	9	124353465	124415473	164	32	184305	4.0538	2.5198e-05	0.007509816838709678
55149	10	30309801	30349338	111	20	184305	6.1282	4.4431e-10	1.154875e-06
