GENE       CHR      START       STOP  NSNPS  NPARAM       N        ZSTAT            P
105378580    1     803398     805130      1       1  184305      0.86928      0.19235
148398       1     925741     944581     14       2  184305         2.85     0.002186
26155        1     944203     959299     26       2  184305       2.1732     0.014881
339451       1     959952     965720      7       1  184305       1.2297      0.10941
84069        1     966497     975108      5       1  184305        1.332     0.091426
84808        1     975199     982117      1       1  184305       1.5942     0.055444
57801        1     998962    1001285      1       1  184305     -0.89502      0.81461
375790       1    1020101    1056119    109       8  184305      0.38227      0.35113
105369174    1    1061207    1066390     22       5  184305      0.83284      0.20247
105378948    1    1065635    1069326     11       3  184305    -0.062193       0.5248
401934       1    1071746    1074307      1       1  184305      0.40276      0.34356
54991        1    1081818    1116356     62      10  184305      0.42612      0.33501
254173       1    1173898    1197935     75      10  184305     -0.40396      0.65688
8784         1    1203508    1206709      7       3  184305      0.82568      0.20449
7293         1    1211326    1214638     10       3  184305     0.018931      0.49245
51150        1    1216908    1232067     36      10  184305     -0.67572      0.75039
126792       1    1232249    1235041      6       2  184305      0.12828      0.44896
388581       1    1242446    1247218      6       2  184305       1.0342      0.15053
118424       1    1253912    1273854     43       5  184305     -0.51501      0.69673
6339         1    1280415    1292029     23       3  184305      -1.2329       0.8912
116983       1    1292384    1307925     82       7  184305      0.69503      0.24352
126789       1    1308571    1311677     17       4  184305      0.70017      0.24191
54973        1    1311585    1324687     34       4  184305       0.9376      0.17423
80772        1    1324756    1328896      1       1  184305       2.1782     0.014696
83756        1    1328999    1335320     11       4  184305      0.89425      0.18559
1855         1    1335278    1349158     35       4  184305      0.99958      0.15876
54587        1    1352689    1363541     38       4  184305     0.068988       0.4725
54998        1    1373730    1375438      3       2  184305      0.54104      0.29424
81669        1    1385711    1399338     32       3  184305      0.88217      0.18884
55052        1    1401896    1407834     12       2  184305     -0.05162      0.52058
441869       1    1418420    1421820      8       3  184305      -1.7392        0.959
643965       1    1426128    1427787      1       1  184305    -0.025528      0.51018
64856        1    1435523    1442882      8       3  184305     -0.78364      0.78337
219293       1    1441301    1470158     60       7  184305     -0.68669      0.75386
83858        1    1471732    1509479     88       8  184305      -0.7066      0.76009
55210        1    1512143    1534687     31       3  184305      0.11948      0.45245
142678       1    1614975    1630610      7       1  184305     -0.50518      0.69328
8510         1    1632181    1634654      2       1  184305      0.94417      0.17254
984          1    1635226    1659839     50       3  184305     -0.64414      0.74026
728661       1    1660025    1692804     73       6  184305      0.18193      0.42782
728642       1    1702730    1724352     32       5  184305      0.86317      0.19402
9906         1    1724838    1745999     21       6  184305      0.76812      0.22121
65220        1    1751232    1780514     41       6  184305      0.71192      0.23826
2782         1    1785285    1891117    251      17  184305      0.79721      0.21267
105378949    1    1885960    1893010     20       4  184305     0.048028      0.48085
163688       1    1913752    1917294     13       1  184305     -0.40773      0.65827
339456       1    1917589    1919301     10       2  184305     -0.64738      0.74131
85452        1    1921951    2003837     72      11  184305      -1.6666       0.9522
2563         1    2019329    2030753     46       5  184305     -0.40406      0.65692
5590         1    2050470    2185395    302      24  184305       2.0506     0.020152
100506504    1    2181811    2184360      7       2  184305       2.8386    0.0022657
199990       1    2184460    2212720     63      13  184305       2.8771    0.0020066
105378592    1    2208942    2215211     14       4  184305      0.94422      0.17253
6497         1    2228695    2310213    340      41  184305       2.5761    0.0049967
105378594    1    2280383    2284676     25       7  184305       0.2157      0.41461
79906        1    2321253    2391751    237      45  184305      0.04341      0.48269
11079        1    2391314    2405444     43       6  184305      -1.6652      0.95206
5192         1    2404802    2413780     13       3  184305     0.067808      0.47297
9651         1    2415782    2505530    215      23  184305      0.80181      0.21133
55229        1    2508531    2526628     63       7  184305     -0.44662      0.67243
388585       1    2528745    2530245      8       2  184305      0.12814      0.44902
8764         1    2556365    2565622     27       4  184305     -0.31514      0.62367
79258        1    2590639    2633042     15       6  184305     -0.24486      0.59672
100287898    1    2636988    2789665    296      22  184305      0.53039      0.29792
140625       1    3021482    3022903      5       2  184305      -1.1412      0.87311
63976        1    3068227    3438621   1376     127  184305       2.2668     0.011703
27237        1    3454583    3481115     69      14  184305     -0.72946      0.76714
1953         1    3487942    3624757    461      63  184305     -0.70629         0.76
127262       1    3624992    3630131     22       4  184305      -1.5185      0.93555
49856        1    3630767    3650107     62      11  184305     -0.90449      0.81713
7161         1    3652565    3736201    342      28  184305      0.23116       0.4086
148870       1    3752398    3771645    131      14  184305      0.66372      0.25344
388588       1    3772761    3775982     26       5  184305       1.2444      0.10668
57470        1    3780220    3796504    100      12  184305       1.3626     0.086508
9731         1    3812081    3857387    100      15  184305       1.4762     0.069942
55966        1    4655045    4792534    650      80  184305       -1.556      0.94015
261734       1    5862808    5992505    455      40  184305       -0.676      0.75048
8514         1    5992298    6101193    332      26  184305      -1.1582      0.87661
26038        1    6101787    6180134    208      39  184305     -0.95234      0.82954
6146         1    6185020    6199619     61       7  184305      -1.6989      0.95533
388591       1    6205775    6221299     55       9  184305      -1.9025      0.97144
23463        1    6221193    6235984     53       5  184305       0.6309      0.26405
387509       1    6247346    6260990     32       6  184305      -1.1244      0.86957
11332        1    6264272    6393766    378      34  184305      0.59753      0.27508
54626        1    6415232    6424664     44       7  184305     -0.48991       0.6879
83715        1    6424776    6460944     98      10  184305      0.64404      0.25977
8718         1    6461151    6466195     28       5  184305      0.61829      0.26819
57449        1    6466092    6520061    160      14  184305      0.95922      0.16872
79707        1    6521347    6554598     77      11  184305      0.73345      0.23164
80835        1    6555278    6579757     73      13  184305       1.3399     0.090132
3104         1    6579991    6589280     27       2  184305        1.056      0.14549
9903         1    6590724    6602898     43       3  184305      0.69237      0.24435
148479       1    6613696    6624033     29       3  184305      0.74857      0.22706
90326        1    6624865    6635586     26       6  184305    0.0039981      0.49841
55735        1    6634168    6701906    139      22  184305    0.0069207      0.49724
23261        1    6785324    7769706   2949     196  184305      0.73005      0.23268
9341         1    7771269    7781432     26       7  184305      0.16579      0.43416
8863         1    7784380    7845181    155      27  184305       1.3067     0.095654
10911        1    7847612    7913610    269      23  184305       2.0789     0.018812
3604         1    7915871    7943165    146      19  184305      -0.5628      0.71322
11315        1    7961654    7985283     64      12  184305      -1.1735       0.8797
54206        1    8011719    8026333     28       7  184305       0.1463      0.44184
50651        1    8318085    8344167     83       9  184305      0.52082      0.30125
473          1    8352404    8817691    821      29  184305       1.7358     0.041296
2023         1    8861000    8879092     33       6  184305      0.67106      0.25109
765          1    8945785    8975092     89      17  184305     -0.10328      0.54113
155184       1    8960853    9026384    281      41  184305    -0.056434       0.5225
6518         1    9036943    9071704    126      29  184305     -0.20236      0.58018
80045        1    9103391    9129170    104      16  184305      0.53947      0.29478
9563         1    9234776    9271337    113      12  184305      -0.9709       0.8342
80176        1    9292882    9369532    299      37  184305      0.28309      0.38855
84275        1    9539469    9582773     84      17  184305     -0.78459      0.78365
199953       1    9588853    9614877     47       5  184305       1.4705     0.070714
5293         1    9629889    9729114    176      24  184305          1.1      0.13567
22883        1    9729021    9824526    140      25  184305     -0.59642      0.72455
56998        1    9848276    9910258    110      13  184305      0.96381      0.16757
84328        1    9922110    9943402     31       8  184305      -0.8993      0.81575
64802        1    9942923    9985501     56      13  184305     -0.47647      0.68313
105376719    1    9996423    9998089      4       2  184305      0.19044      0.42448
116362       1    9997197   10016020     44       8  184305     0.087835        0.465
10277        1   10032983   10181239    232      20  184305      0.54213      0.29387
23095        1   10210706   10381603    585      22  184305      0.54637      0.29241
5226         1   10398992   10420511     63       7  184305    -0.068527      0.52732
378708       1   10430102   10442815     42      10  184305      0.21601      0.41449
100526739    1   10430102   10452003     69      12  184305      0.14211       0.4435
1325         1   10449719   10452003      5       3  184305      0.27585      0.39133
1676         1   10460531   10472556     30       6  184305       0.3475      0.36411
5195         1   10474946   10630758    401      25  184305      0.79114      0.21443
54897        1   10636604   10796676    381      50  184305       1.4767     0.069883
148345       1   10946473   10982037     88      17  184305      -1.1624      0.87747
23435        1   11012622   11025492     41       6  184305      0.73725      0.23048
10747        1   11026523   11047239     74       4  184305     -0.33735      0.63207
6723         1   11054592   11060034      3       1  184305     -0.56025      0.71235
5394         1   11066613   11099910     77       7  184305      -1.5732      0.94216
2475         1   11106531   11262557    329       7  184305     -0.40328      0.65663
10218        1   11189289   11195981     13       2  184305      0.13558      0.44608
29914        1   11273198   11296595     61       5  184305     -0.49622      0.69013
57540        1   11479238   11537583    207      23  184305       1.1683      0.12134
26232        1   11648361   11654831     26       6  184305      0.72554      0.23406
93611        1   11654375   11663327     39       6  184305      0.61231      0.27017
26270        1   11664093   11674354     36       4  184305    -0.029563      0.51179
10459        1   11674480   11691788     49       6  184305    -0.044829      0.51788
374946       1   11686647   11720612    103      19  184305     0.071422      0.47153
57085        1   11735474   11750771     56      11  184305      0.38671      0.34949
284498       1   11762183   11789585     80      17  184305      -1.1518       0.8753
4524         1   11785730   11806103     44      10  184305      0.45783      0.32354
1185         1   11806096   11843144    163      16  184305       1.7333      0.04152
4878         1   11845709   11847783      8       4  184305       1.1952      0.11601
4879         1   11857464   11858935     14       4  184305       2.5861    0.0048529
90231        1   11919588   11926428     28       8  184305      0.28551      0.38763
5351         1   11934667   11975542    207      18  184305     -0.34751      0.63589
9927         1   11980181   12013515    107      15  184305     -0.77533      0.78093
60672        1   12019242   12032049     30       6  184305      -1.7957      0.96373
943          1   12063330   12144207    187      31  184305     -0.85566      0.80391
7133         1   12166949   12209222    119      24  184305     -0.62622      0.73442
55187        1   12230039   12512047    595      33  184305      0.43317      0.33245
9249         1   12567910   12618361    233      35  184305      0.76775      0.22132
343066       1   12644547   12667086     66      13  184305       2.1508     0.015748
126767       1   12716115   12728759     24       3  184305     -0.20962      0.58302
93190        1   12746186   12761169     23       2  184305      0.86605      0.19323
390999       1   12763223   12777906     38       7  184305     -0.25466      0.60051
65121        1   12791397   12796628     12       3  184305      -2.7727      0.99722
440560       1   12824380   12831410     23       4  184305      -2.3818      0.99139
343069       1   12847377   12848756      2       1  184305      -1.3413      0.91009
65122        1   12857086   12861909     21       3  184305      0.79237      0.21407
400735       1   12879212   12886201     18       3  184305      -1.2488      0.89413
343071       1   12892896   12898270     23       4  184305      -1.2938      0.90213
441871       1   12916647   12920480      9       2  184305      -1.7109      0.95645
7799         1   13700240   13825079    211      29  184305     -0.53616      0.70408
23254        1   13893515   15118048   4651     291  184305     -0.13497      0.55368
55092        1   15152532   15220478    219      32  184305     -0.55111      0.70922
727684       1   15164196   15171624     19       4  184305    -0.035605       0.5142
114827       1   15236602   15400283    672      76  184305     -0.47248      0.68171
79180        1   15409895   15430343     78      20  184305     -0.24502      0.59678
11330        1   15438442   15449247     57       8  184305     -0.79496      0.78668
63036        1   15456728   15472091     67      10  184305       -1.556      0.94014
51032        1   15476101   15491400     69      10  184305     -0.45209       0.6744
842          1   15491401   15526529    198      19  184305     -0.98217      0.83699
23341        1   15526813   15571733    272      21  184305     -0.76629      0.77825
79814        1   15571699   15585110     80       4  184305       1.1384      0.12747
84301        1   15617458   15661057    113      18  184305      0.24133      0.40465
6248         1   15659869   15661722      5       2  184305     0.096539      0.46155
23207        1   15684267   15734769    158      21  184305     -0.39598      0.65394
284723       1   15735088   15741392     15       4  184305      0.31612      0.37596
388595       1   15742492   15747797     31      10  184305     0.048405       0.4807
54751        1   15756171   15786589     67      14  184305     -0.17107      0.56792
23013        1   15847864   15940455    342      13  184305       1.7832      0.03728
7709         1   15941869   15976132     83       6  184305       1.0984      0.13601
101928566    1   15976131   15997206     43       4  184305       1.5694     0.058273
149563       1   16004236   16006695      8       2  184305       1.9255     0.027083
27129        1   16014028   16018796     19       4  184305       1.7315     0.041679
1187         1   16021991   16034050     27       5  184305       1.9133     0.027852
1188         1   16043736   16057326     48       8  184305       1.6763     0.046836
348487       1   16057769   16073632     36       9  184305      -1.1926      0.88349
1969         1   16124337   16156087    196      12  184305       1.2324      0.10889
128272       1   16197856   16212671     29       9  184305     -0.70317      0.75903
101927546    1   16215907   16227036     28       9  184305      0.14842      0.44101
79363        1   16231687   16237452      8       4  184305     -0.92308      0.82202
54455        1   16246840   16352491    361      24  184305      0.87196      0.19162
26099        1   16367030   16398148    225      24  184305      0.53324      0.29693
374955       1   16387117   16437842    216      19  184305       1.3792     0.083916
55707        1   16440672   16460090     44      11  184305        2.763     0.002864
102724970    1   16535773   16536956      2       1  184305       2.7653    0.0028437
100133301    1   16538724   16540035      4       1  184305       1.4604      0.07209
55672        1   16562427   16613605    101       9  184305       1.8444     0.032561
102723383    1   16733807   16734539      2       1  184305      0.75031      0.22653
11223        1   16754634   16764480     25       8  184305       0.9595      0.16865
9696         1   16895707   16972979      4       2  184305      0.11522      0.45414
4237         1   16974500   16981643      1       1  184305       1.3278     0.092128
23400        1   16985958   17011972     14       4  184305      -1.9722      0.97571
6390         1   17018722   17054170     16       4  184305      -1.0336      0.84933
11240        1   17066761   17119453      4       2  184305     0.028501      0.48863
29943        1   17205123   17246006     76       9  184305      0.50879      0.30545
51702        1   17249082   17284233     53      10  184305      0.54146      0.29409
